,Episode,Reward
100, 100.00000, 102.00000
101, 101.00000,  40.00000
102, 102.00000,  22.00000
103, 103.00000,  11.00000
104, 104.00000,  19.00000
105, 105.00000,  19.00000
106, 106.00000,  18.00000
107, 107.00000,  19.00000
108, 108.00000,  46.00000
109, 109.00000,  16.00000
110, 110.00000,  19.00000
111, 111.00000, 165.00000
112, 112.00000, 168.00000
113, 113.00000, 166.00000
114, 114.00000, 200.00000
115, 115.00000, 291.00000
116, 116.00000, 500.00000
117, 117.00000, 500.00000
118, 118.00000, 218.00000
119, 119.00000, 218.00000
120, 120.00000, 258.00000
121, 121.00000, 206.00000
122, 122.00000, 392.00000
123, 123.00000, 398.00000
124, 124.00000, 425.00000
125, 125.00000, 319.00000
126, 126.00000, 243.00000
127, 127.00000, 262.00000
128, 128.00000, 212.00000
129, 129.00000, 253.00000
130, 130.00000, 280.00000
131, 131.00000, 270.00000
132, 132.00000, 239.00000
133, 133.00000, 234.00000
134, 134.00000, 227.00000
135, 135.00000, 238.00000
136, 136.00000, 215.00000
137, 137.00000, 228.00000
138, 138.00000, 211.00000
139, 139.00000, 236.00000
140, 140.00000, 216.00000
141, 141.00000, 242.00000
142, 142.00000, 269.00000
143, 143.00000, 232.00000
144, 144.00000, 250.00000
145, 145.00000, 253.00000
146, 146.00000, 217.00000
147, 147.00000, 233.00000
148, 148.00000, 244.00000
149, 149.00000, 231.00000
150, 150.00000, 216.00000
151, 151.00000, 254.00000
152, 152.00000, 239.00000
153, 153.00000, 227.00000
154, 154.00000, 248.00000
155, 155.00000, 284.00000
156, 156.00000, 263.00000
157, 157.00000, 256.00000
158, 158.00000, 277.00000
159, 159.00000, 266.00000
160, 160.00000, 250.00000
161, 161.00000, 235.00000
162, 162.00000, 259.00000
163, 163.00000, 270.00000
164, 164.00000, 229.00000
165, 165.00000, 251.00000
166, 166.00000, 280.00000
167, 167.00000, 266.00000
168, 168.00000, 298.00000
169, 169.00000, 282.00000
170, 170.00000, 280.00000
171, 171.00000, 271.00000
172, 172.00000, 227.00000
173, 173.00000, 252.00000
174, 174.00000, 256.00000
175, 175.00000, 262.00000
176, 176.00000, 253.00000
177, 177.00000, 256.00000
178, 178.00000, 260.00000
179, 179.00000, 234.00000
180, 180.00000, 287.00000
181, 181.00000, 275.00000
182, 182.00000, 302.00000
183, 183.00000, 303.00000
184, 184.00000, 356.00000
185, 185.00000, 259.00000
186, 186.00000, 303.00000
187, 187.00000, 355.00000
188, 188.00000, 214.00000
189, 189.00000, 240.00000
190, 190.00000, 323.00000
191, 191.00000, 481.00000
192, 192.00000, 369.00000
193, 193.00000, 310.00000
194, 194.00000, 500.00000
195, 195.00000, 369.00000
196, 196.00000, 410.00000
197, 197.00000, 275.00000
198, 198.00000, 305.00000
199, 199.00000, 205.00000
200, 200.00000, 476.00000
201, 201.00000, 500.00000
202, 202.00000, 446.00000
203, 203.00000, 314.00000
204, 204.00000, 399.00000
205, 205.00000, 500.00000
206, 206.00000, 428.00000
207, 207.00000, 354.00000
208, 208.00000, 436.00000
209, 209.00000, 500.00000
210, 210.00000, 414.00000
211, 211.00000, 407.00000
212, 212.00000, 407.00000
213, 213.00000, 500.00000
214, 214.00000, 370.00000
215, 215.00000, 490.00000
216, 216.00000, 500.00000
217, 217.00000, 500.00000
218, 218.00000, 424.00000
219, 219.00000, 386.00000
220, 220.00000, 500.00000
221, 221.00000, 500.00000
222, 222.00000, 345.00000
223, 223.00000, 310.00000
224, 224.00000, 346.00000
225, 225.00000, 426.00000
226, 226.00000, 325.00000
227, 227.00000, 300.00000
228, 228.00000, 405.00000
229, 229.00000, 364.00000
230, 230.00000, 416.00000
231, 231.00000, 278.00000
232, 232.00000, 306.00000
233, 233.00000, 394.00000
234, 234.00000, 500.00000
235, 235.00000, 286.00000
236, 236.00000, 270.00000
237, 237.00000, 324.00000
238, 238.00000, 308.00000
239, 239.00000, 372.00000
240, 240.00000, 283.00000
241, 241.00000, 301.00000
242, 242.00000, 340.00000
243, 243.00000, 493.00000
244, 244.00000, 371.00000
245, 245.00000, 500.00000
246, 246.00000, 307.00000
247, 247.00000, 245.00000
248, 248.00000, 318.00000
249, 249.00000, 500.00000
