,Episode,Mean,Stddev
250, 250.00000, 194.60000,  25.79225
251, 251.00000, 193.50000,  12.04367
252, 252.00000, 214.70000,  14.58801
253, 253.00000, 250.60000,  27.05993
254, 254.00000, 203.60000,  43.60092
255, 255.00000, 244.80000,  36.32850
256, 256.00000, 166.10000,  68.04330
257, 257.00000, 195.10000,  31.54822
258, 258.00000, 221.40000,  16.42072
259, 259.00000, 226.00000,  27.39343
260, 260.00000, 211.60000,  14.36802
261, 261.00000, 204.10000,  28.12632
262, 262.00000, 161.10000,  72.04228
263, 263.00000, 261.60000,  75.79208
264, 264.00000, 165.60000,  51.88680
265, 265.00000,  69.80000,  69.07503
266, 266.00000, 181.90000,  58.46101
267, 267.00000, 101.70000,  77.60548
268, 268.00000, 142.80000,  69.12279
269, 269.00000, 231.20000,  46.10163
270, 270.00000, 129.90000,  84.43394
271, 271.00000, 156.50000,  67.83989
272, 272.00000, 160.90000,  68.01243
273, 273.00000,  71.80000,  68.79070
274, 274.00000, 223.40000,  21.03426
275, 275.00000, 165.10000,  92.40720
276, 276.00000, 137.30000,  88.96971
277, 277.00000, 152.70000,  93.14081
278, 278.00000, 140.60000,  91.97304
279, 279.00000, 145.70000,  82.99886
280, 280.00000, 160.80000,  76.50072
281, 281.00000, 195.00000,  46.18008
282, 282.00000, 245.70000,  18.50973
283, 283.00000, 196.50000,  48.14405
284, 284.00000, 283.20000,  34.29810
285, 285.00000, 228.50000,  19.43322
286, 286.00000, 340.10000,  91.36022
287, 287.00000, 190.40000,  41.46613
288, 288.00000, 207.50000,  21.42545
289, 289.00000, 212.80000,  13.31766
290, 290.00000, 226.00000,  20.50853
291, 291.00000, 274.90000,  39.75538
292, 292.00000, 464.10000,  63.24152
293, 293.00000, 216.00000,  18.54184
294, 294.00000, 238.70000,  32.30495
295, 295.00000, 212.40000,  17.77189
296, 296.00000, 278.80000,  37.49613
297, 297.00000, 240.50000,  33.00379
298, 298.00000, 270.60000,  37.96630
299, 299.00000, 452.70000,  67.44190
300, 300.00000, 380.50000,  70.11312
301, 301.00000, 349.30000,  69.40180
302, 302.00000, 269.40000,  66.55554
303, 303.00000, 489.00000,  32.01250
304, 304.00000, 282.10000,  86.22929
305, 305.00000, 268.80000,  29.50864
306, 306.00000, 247.80000,  28.72908
307, 307.00000, 334.30000,  37.90264
308, 308.00000, 247.90000,  20.36885
309, 309.00000, 217.20000,   9.53730
310, 310.00000, 319.00000,  36.58688
311, 311.00000, 233.90000,  22.48755
312, 312.00000, 211.10000,  15.77625
313, 313.00000, 229.40000,  11.35077
314, 314.00000, 444.00000,  48.39835
315, 315.00000, 490.90000,  16.96143
316, 316.00000, 267.60000,  83.45801
317, 317.00000, 485.40000,  29.96064
318, 318.00000, 484.70000,  20.60121
319, 319.00000, 262.90000,  29.87457
320, 320.00000, 229.10000,  11.19330
321, 321.00000, 445.50000,  76.46339
322, 322.00000, 446.40000,  58.70298
323, 323.00000, 242.60000,  16.57227
324, 324.00000, 456.40000,  31.48714
325, 325.00000, 419.30000, 100.53760
326, 326.00000, 232.80000,  19.05676
327, 327.00000, 201.70000,   8.64928
328, 328.00000, 225.00000,  21.77613
329, 329.00000, 247.30000,   9.61301
330, 330.00000, 405.30000,  72.38377
331, 331.00000, 217.60000,  14.73228
332, 332.00000, 465.70000,  27.41186
333, 333.00000, 227.60000,   9.93177
334, 334.00000, 255.00000,  15.37530
335, 335.00000, 253.80000,  13.65870
336, 336.00000, 213.20000,  11.66019
337, 337.00000, 302.60000,  34.78563
338, 338.00000, 339.20000,  40.83577
339, 339.00000, 223.90000,  13.17915
340, 340.00000, 389.90000,  67.73692
341, 341.00000, 497.70000,   4.64866
342, 342.00000, 224.10000,  25.65326
343, 343.00000, 467.40000,  51.44551
344, 344.00000, 272.30000,  18.33603
345, 345.00000, 208.10000,  12.79414
346, 346.00000, 272.90000,  33.20376
347, 347.00000, 341.50000,  39.47721
348, 348.00000, 345.90000, 107.82157
349, 349.00000, 298.10000,  83.05474
350, 350.00000, 325.40000, 118.90433
351, 351.00000, 314.90000,  51.98548
352, 352.00000, 341.40000,  39.89286
353, 353.00000, 495.50000,   9.13510
354, 354.00000, 233.70000,  25.48745
355, 355.00000, 475.80000,  55.12495
356, 356.00000, 412.90000,  88.22522
357, 357.00000, 471.20000,  76.92178
358, 358.00000, 202.30000,  41.17293
359, 359.00000, 253.30000,  55.27214
360, 360.00000, 469.90000,  52.75690
361, 361.00000, 500.00000,   0.00000
362, 362.00000, 402.00000, 143.58134
363, 363.00000, 498.90000,   3.30000
364, 364.00000, 325.20000,  53.84385
365, 365.00000, 419.80000, 106.47140
366, 366.00000, 345.30000, 140.30470
367, 367.00000, 496.40000,  10.80000
368, 368.00000, 195.20000,  41.76554
369, 369.00000, 241.50000, 160.79195
370, 370.00000, 481.70000,  54.90000
371, 371.00000, 125.60000,  87.34209
372, 372.00000, 500.00000,   0.00000
373, 373.00000, 460.50000, 118.50000
374, 374.00000, 446.60000,  62.93362
375, 375.00000, 444.10000, 109.96495
376, 376.00000, 230.40000,  23.27316
377, 377.00000, 431.90000,  70.63915
378, 378.00000, 396.50000, 143.66089
379, 379.00000, 312.40000, 180.10730
380, 380.00000, 394.40000, 136.52121
381, 381.00000, 300.00000, 100.91680
382, 382.00000, 188.30000, 152.65127
383, 383.00000, 438.70000, 125.61692
384, 384.00000, 500.00000,   0.00000
385, 385.00000, 500.00000,   0.00000
386, 386.00000, 160.40000,  11.67219
387, 387.00000, 155.30000,  10.96403
388, 388.00000, 186.10000,  22.57189
389, 389.00000, 425.10000,  85.23550
390, 390.00000, 500.00000,   0.00000
391, 391.00000, 500.00000,   0.00000
392, 392.00000, 500.00000,   0.00000
393, 393.00000, 451.50000, 100.06123
394, 394.00000, 500.00000,   0.00000
395, 395.00000, 225.30000,  46.87227
396, 396.00000, 207.60000,  33.57142
397, 397.00000, 500.00000,   0.00000
398, 398.00000, 443.80000,  89.07839
399, 399.00000, 500.00000,   0.00000
400, 400.00000, 205.00000,  22.26657
401, 401.00000, 286.40000, 113.86062
402, 402.00000, 389.50000, 119.43136
403, 403.00000, 238.10000,  65.53999
404, 404.00000, 348.90000, 130.33300
405, 405.00000, 326.00000,  94.82616
406, 406.00000, 459.30000,  82.68742
407, 407.00000, 193.70000,  10.04042
408, 408.00000, 196.20000,   9.81631
409, 409.00000, 200.50000,  12.83939
410, 410.00000, 197.10000,  11.96202
411, 411.00000, 193.70000,   9.41329
412, 412.00000, 191.00000,  10.90871
413, 413.00000, 197.70000,  14.46409
414, 414.00000, 198.70000,  11.45469
415, 415.00000, 190.40000,  12.42739
416, 416.00000, 197.60000,  10.75360
417, 417.00000, 213.90000,  40.37437
418, 418.00000, 185.10000,   7.77753
419, 419.00000, 192.40000,   8.55804
420, 420.00000, 188.70000,  12.18236
421, 421.00000, 184.70000,   8.45044
